Id,Source,Target,SI,Residual_Dev_Perc,Nul_.Deviance,Label,Weight
1,AHR,AHR.1,0.075547667,0.829020434,184.8585984,AHR - AHR.1,1.206242885
2,AHR,AHRR,0.06872184,0.843904501,184.8585984,AHR - AHRR,1.184968203
3,AHR,ARNT,0.112550698,0.743391315,184.8585984,AHR - ARNT,1.345186552
4,AHR,ARNT.1,0.099722679,0.772912899,184.8585984,AHR - ARNT.1,1.293806846
5,AHR,CEBPA,0.074359265,0.829996186,184.8585984,AHR - CEBPA,1.204824813
6,AHR,CEBPB,0.082359466,0.813204194,184.8585984,AHR - CEBPB,1.229703446
7,AHR,CEBPD,0.094944739,0.783493426,184.8585984,AHR - CEBPD,1.276334896
8,AHR,CEBPG,0.119918009,0.72673118,184.8585984,AHR - CEBPG,1.376024626
9,AHR,CEBPG.1,0.088064267,0.799483858,184.8585984,AHR - CEBPG.1,1.250806993
10,AHR,DBP,3.459154659,0.832129434,184.8585984,AHR - DBP,1.201736123
11,AHR,ESR1,0.227931312,0.481394735,184.8585984,AHR - ESR1,2.077297335
12,AHR,ESR1.1,0.071437107,0.836693534,184.8585984,AHR - ESR1.1,1.195180743
13,AHR,ESR1.2,0.226046325,0.485221908,184.8585984,AHR - ESR1.2,2.060912715
14,AHR,FOXA1,0.118191709,0.734744762,184.8585984,AHR - FOXA1,1.361016848
15,AHR,FOXA1.1,0.077777385,0.825082356,184.8585984,AHR - FOXA1.1,1.212000224
16,AHR,FOXA2,0.158252563,0.640676475,184.8585984,AHR - FOXA2,1.560850194
17,AHR,FOXA3,0.076559808,0.826262735,184.8585984,AHR - FOXA3,1.210268789
18,AHR,HNF4A,0.076795285,0.82696763,184.8585984,AHR - HNF4A,1.209237174
19,AHR,HNF4A.1,0.079473898,0.821875316,184.8585984,AHR - HNF4A.1,1.21672957
20,AHR,HNF4A.2,0.152349139,0.659180782,184.8585984,AHR - HNF4A.2,1.517034518
21,AHR,HNF4A.3,0.146542962,0.669127128,184.8585984,AHR - HNF4A.3,1.494484319
22,AHR,HNF4G,0.071834435,0.836680878,184.8585984,AHR - HNF4G,1.195198822
23,AHR,HNF4G.1,0.07291301,0.835558548,184.8585984,AHR - HNF4G.1,1.196804224
24,AHR,NCOA1,0.075170391,0.829221509,184.8585984,AHR - NCOA1,1.205950387
25,AHR,NCOA2,0.06872184,0.843904501,184.8585984,AHR - NCOA2,1.184968203
26,AHR,NCOA3,0.080453994,0.818520766,184.8585984,AHR - NCOA3,1.221716102
27,AHR,NCOA3.1,0.073233548,0.833643247,184.8585984,AHR - NCOA3.1,1.19955389
28,AHR,NCOR1,0.137506099,0.688009009,184.8585984,AHR - NCOR1,1.45346934
29,AHR,NCOR2,0.124947373,0.72101243,184.8585984,AHR - NCOR2,1.386938641
30,AHR,NCOR2.1,0.089806995,0.796985348,184.8585984,AHR - NCOR2.1,1.254728211
31,AHR,NCOR2.2,0.145613306,0.667771094,184.8585984,AHR - NCOR2.2,1.497519148
32,AHR,NFE2L2,0.148541289,0.661572102,184.8585984,AHR - NFE2L2,1.511551042
33,AHR,NR0B1,0.086407639,0.803699444,184.8585984,AHR - NR0B1,1.244246226
34,AHR,NR0B2,0.09453499,0.784182819,184.8585984,AHR - NR0B2,1.27521284
35,AHR,NR1D2,0.074422813,0.830995489,184.8585984,AHR - NR1D2,1.203375967
36,AHR,NR1D2.1,0.079550656,0.819255199,184.8585984,AHR - NR1D2.1,1.220620878
37,AHR,NR1H2,0.092631405,0.793276114,184.8585984,AHR - NR1H2,1.260595122
