Id,Label,SI,Residual.Dev.Perc,Null.Dev,Weight
AHR,AHR,0.06872184,0.843904501,184.8585984,0.156095499
AHR.1,AHR.1,0.073308624,0.833873986,184.8585984,0.166126014
AHRR,AHRR,0.008624813,0.984271747,184.8585984,0.015728253
ARNT,ARNT,0.067964971,0.846404522,184.8585984,0.153595478
ARNT.1,ARNT.1,0.038734057,0.913451407,184.8585984,0.086548593
CEBPA,CEBPA,0.007946078,0.981960722,184.8585984,0.018039278
CEBPB,CEBPB,0.015544865,0.964883129,184.8585984,0.035116871
CEBPD,CEBPD,0.051159755,0.883626669,184.8585984,0.116373331
CEBPG,CEBPG,0.067180407,0.849516373,184.8585984,0.150483627
CEBPG.1,CEBPG.1,0.038489953,0.912820039,184.8585984,0.087179961
DBP,DBP,7.012862958,0.965310255,184.8585984,0.034689745
ESR1,ESR1,0.22414915,0.492241724,184.8585984,0.507758276
ESR1.1,ESR1.1,0.008518084,0.980631963,184.8585984,0.019368037
ESR1.2,ESR1.2,0.222087076,0.496518928,184.8585984,0.503481072
FOXA1,FOXA1,0.047357136,0.893760805,184.8585984,0.106239195
FOXA1.1,FOXA1.1,0.013734081,0.969834473,184.8585984,0.030165527
FOXA2,FOXA2,0.129461656,0.706964132,184.8585984,0.293035868
FOXA3,FOXA3,0.012981903,0.97037991,184.8585984,0.02962009
HNF4A,HNF4A,0.016235076,0.96450048,184.8585984,0.03549952
HNF4A.1,HNF4A.1,0.012724046,0.971680876,184.8585984,0.028319124
HNF4A.2,HNF4A.2,0.109788224,0.751970098,184.8585984,0.248029902
HNF4A.3,HNF4A.3,0.102601273,0.765064188,184.8585984,0.234935812
HNF4G,HNF4G,0.003094648,0.992871008,184.8585984,0.007128992
HNF4G.1,HNF4G.1,0.005685769,0.986982382,184.8585984,0.013017618
NCOA1,NCOA1,0.021371504,0.952372048,184.8585984,0.047627952
NCOA2,NCOA2,0.002740404,0.993724926,184.8585984,0.006275074
NCOA3,NCOA3,0.018042867,0.959068184,184.8585984,0.040931816
NCOA3.1,NCOA3.1,0.00946346,0.979227859,184.8585984,0.020772141
NCOR1,NCOR1,0.126758408,0.712287683,184.8585984,0.287712317
NCOR2,NCOR2,0.10743229,0.760113357,184.8585984,0.239886643
NCOR2.1,NCOR2.1,0.026797926,0.940039323,184.8585984,0.059960677
NCOR2.2,NCOR2.2,0.135002443,0.695252439,184.8585984,0.304747561
NFE2L2,NFE2L2,0.14040139,0.681329587,184.8585984,0.318670413
NR0B1,NR0B1,0.029816969,0.932473618,184.8585984,0.067526382
NR0B2,NR0B2,0.042751651,0.903598549,184.8585984,0.096401451
NR1D2,NR1D2,0.021061533,0.952166612,184.8585984,0.047833388
NR1D2.1,NR1D2.1,0.035362183,0.923111886,184.8585984,0.076888114
NR1H2,NR1H2,0.06957239,0.84732796,184.8585984,0.15267204
NR1H2.1,NR1H2.1,0.027699353,0.936589834,184.8585984,0.063410166
NR1H3,NR1H3,0.081293616,0.816947358,184.8585984,0.183052642
NR1H4,NR1H4,0.004284135,0.990143595,184.8585984,0.009856405
NR1I2,NR1I2,0.141123933,0.680502933,184.8585984,0.319497067
NR1I2.1,NR1I2.1,0.138239267,0.686712085,184.8585984,0.313287915
NR1I3,NR1I3,0.183987083,0.586576894,184.8585984,0.413423106
NR1I3.1,NR1I3.1,0.185255026,0.587606225,184.8585984,0.412393775
NR2F1,NR2F1,0.017672198,0.959661665,184.8585984,0.040338335
NR2F1.1,NR2F1.1,0.014660152,0.966555721,184.8585984,0.033444279
NR2F2,NR2F2,0.010771223,0.975347963,184.8585984,0.024652037
NR2F2.1,NR2F2.1,0.011198672,0.974353665,184.8585984,0.025646335
NR3C1,NR3C1,0.004301724,0.990379308,184.8585984,0.009620692
NR5A2,NR5A2,0.056629141,0.872095517,184.8585984,0.127904483
ONECUT1,ONECUT1,0.003096423,0.993320731,184.8585984,0.006679269
PGRMC1,PGRMC1,0.18834937,0.570407967,184.8585984,0.429592033
PPARA,PPARA,0.002609273,0.994162067,184.8585984,0.005837933
PPARA.1,PPARA.1,0.116995035,0.759439462,184.8585984,0.240560538
PPARA.2,PPARA.2,0.002616027,0.9940027,184.8585984,0.0059973
PPARA.3,PPARA.3,0.008518937,0.982995996,184.8585984,0.017004004
PPARA.4,PPARA.4,0.015771158,0.963818649,184.8585984,0.036181351
PPARA.5,PPARA.5,0.012405719,0.971790736,184.8585984,0.028209264
PPARD,PPARD,0.059402566,0.867562683,184.8585984,0.132437317
PPARD.1,PPARD.1,0.03199064,0.928311909,184.8585984,0.071688091
PPARD.2,PPARD.2,0.045973168,0.897217363,184.8585984,0.102782637
PPARG,PPARG,0.00368864,0.991512863,184.8585984,0.008487137
PPARG.1,PPARG.1,0.003563744,0.992060724,184.8585984,0.007939276
PPARG.2,PPARG.2,0.005878691,0.986946462,184.8585984,0.013053538
RXRA,RXRA,0.024191201,0.944700188,184.8585984,0.055299812
RXRA.1,RXRA.1,0.069208755,0.841613881,184.8585984,0.158386119
RXRB,RXRB,0.012689767,0.970950848,184.8585984,0.029049152
RXRB.1,RXRB.1,0.06102812,0.978334091,184.8585984,0.021665909
RXRG,RXRG,0.024024588,0.945764928,184.8585984,0.054235072
RXRG.1,RXRG.1,0.010609282,0.978830481,184.8585984,0.021169519
THRA,THRA,0.031954054,0.927387907,184.8585984,0.072612093
THRB,THRB,0.099633215,0.840177365,184.8585984,0.159822635
USF1,USF1,0.107063389,0.76671162,184.8585984,0.23328838
VDR,VDR,0.0229552,0.947685663,184.8585984,0.052314337
VDR.1,VDR.1,0.022296449,0.952180465,184.8585984,0.047819535
VDR.2,VDR.2,0.029456822,0.932409907,184.8585984,0.067590093
YY1,YY1,0,1,184.8585984,0
