Id,Label,SI,Residual.Dev.Perc,Null.Dev,Weight
AHR,AHR,0.06872184,0.843904501,184.8585984,0.081433195
AHR.1,AHR.1,0.073308624,0.833873986,184.8585984,0.087913312
AHRR,AHRR,0.008624813,0.984271747,184.8585984,0.008762634
ARNT,ARNT,0.067964971,0.846404522,184.8585984,0.08029845
ARNT.1,ARNT.1,0.038734057,0.913451407,184.8585984,0.04240407
CEBPA,CEBPA,0.007946078,0.981960722,184.8585984,0.008092053
CEBPB,CEBPB,0.015544865,0.964883129,184.8585984,0.01611062
CEBPD,CEBPD,0.051159755,0.883626669,184.8585984,0.057897477
CEBPG,CEBPG,0.067180407,0.849516373,184.8585984,0.079080768
CEBPG.1,CEBPG.1,0.038489953,0.912820039,184.8585984,0.042165982
DBP,DBP,7.012862958,0.965310255,184.8585984,7.264879785
ESR1,ESR1,0.22414915,0.492241724,184.8585984,0.455363979
ESR1.1,ESR1.1,0.008518084,0.980631963,184.8585984,0.008686321
ESR1.2,ESR1.2,0.222087076,0.496518928,184.8585984,0.447288237
FOXA1,FOXA1,0.047357136,0.893760805,184.8585984,0.052986365
FOXA1.1,FOXA1.1,0.013734081,0.969834473,184.8585984,0.014161263
FOXA2,FOXA2,0.129461656,0.706964132,184.8585984,0.183123372
FOXA3,FOXA3,0.012981903,0.97037991,184.8585984,0.013378165
HNF4A,HNF4A,0.016235076,0.96450048,184.8585984,0.016832626
HNF4A.1,HNF4A.1,0.012724046,0.971680876,184.8585984,0.013094882
HNF4A.2,HNF4A.2,0.109788224,0.751970098,184.8585984,0.146000784
HNF4A.3,HNF4A.3,0.102601273,0.765064188,184.8585984,0.134108059
HNF4G,HNF4G,0.003094648,0.992871008,184.8585984,0.003116868
HNF4G.1,HNF4G.1,0.005685769,0.986982382,184.8585984,0.00576076
NCOA1,NCOA1,0.021371504,0.952372048,184.8585984,0.022440289
NCOA2,NCOA2,0.002740404,0.993724926,184.8585984,0.002757709
NCOA3,NCOA3,0.018042867,0.959068184,184.8585984,0.018812914
NCOA3.1,NCOA3.1,0.00946346,0.979227859,184.8585984,0.009664206
NCOR1,NCOR1,0.126758408,0.712287683,184.8585984,0.177959567
NCOR2,NCOR2,0.10743229,0.760113357,184.8585984,0.141337195
NCOR2.1,NCOR2.1,0.026797926,0.940039323,184.8585984,0.028507239
NCOR2.2,NCOR2.2,0.135002443,0.695252439,184.8585984,0.19417759
NFE2L2,NFE2L2,0.14040139,0.681329587,184.8585984,0.206069709
NR0B1,NR0B1,0.029816969,0.932473618,184.8585984,0.031976207
NR0B2,NR0B2,0.042751651,0.903598549,184.8585984,0.04731266
NR1D2,NR1D2,0.021061533,0.952166612,184.8585984,0.022119588
NR1D2.1,NR1D2.1,0.035362183,0.923111886,184.8585984,0.038307581
NR1H2,NR1H2,0.06957239,0.84732796,184.8585984,0.082107983
NR1H2.1,NR1H2.1,0.027699353,0.936589834,184.8585984,0.029574689
NR1H3,NR1H3,0.081293616,0.816947358,184.8585984,0.099509002
NR1H4,NR1H4,0.004284135,0.990143595,184.8585984,0.004326782
NR1I2,NR1I2,0.141123933,0.680502933,184.8585984,0.207381814
NR1I2.1,NR1I2.1,0.138239267,0.686712085,184.8585984,0.201306006
NR1I3,NR1I3,0.183987083,0.586576894,184.8585984,0.313662343
NR1I3.1,NR1I3.1,0.185255026,0.587606225,184.8585984,0.3152707
NR2F1,NR2F1,0.017672198,0.959661665,184.8585984,0.01841503
NR2F1.1,NR2F1.1,0.014660152,0.966555721,184.8585984,0.015167415
NR2F2,NR2F2,0.010771223,0.975347963,184.8585984,0.011043467
NR2F2.1,NR2F2.1,0.011198672,0.974353665,184.8585984,0.011493437
NR3C1,NR3C1,0.004301724,0.990379308,184.8585984,0.004343512
NR5A2,NR5A2,0.056629141,0.872095517,184.8585984,0.064934563
ONECUT1,ONECUT1,0.003096423,0.993320731,184.8585984,0.003117244
PGRMC1,PGRMC1,0.18834937,0.570407967,184.8585984,0.330201156
PPARA,PPARA,0.002609273,0.994162067,184.8585984,0.002624595
PPARA.1,PPARA.1,0.116995035,0.759439462,184.8585984,0.154054458
PPARA.2,PPARA.2,0.002616027,0.9940027,184.8585984,0.002631811
PPARA.3,PPARA.3,0.008518937,0.982995996,184.8585984,0.008666299
PPARA.4,PPARA.4,0.015771158,0.963818649,184.8585984,0.016363201
PPARA.5,PPARA.5,0.012405719,0.971790736,184.8585984,0.012765834
PPARD,PPARD,0.059402566,0.867562683,184.8585984,0.068470633
PPARD.1,PPARD.1,0.03199064,0.928311909,184.8585984,0.03446109
PPARD.2,PPARD.2,0.045973168,0.897217363,184.8585984,0.051239722
PPARG,PPARG,0.00368864,0.991512863,184.8585984,0.003720214
PPARG.1,PPARG.1,0.003563744,0.992060724,184.8585984,0.003592264
PPARG.2,PPARG.2,0.005878691,0.986946462,184.8585984,0.005956444
RXRA,RXRA,0.024191201,0.944700188,184.8585984,0.025607279
RXRA.1,RXRA.1,0.069208755,0.841613881,184.8585984,0.082233381
RXRB,RXRB,0.012689767,0.970950848,184.8585984,0.013069423
RXRB.1,RXRB.1,0.06102812,0.978334091,184.8585984,0.062379631
RXRG,RXRG,0.024024588,0.945764928,184.8585984,0.025402283
RXRG.1,RXRG.1,0.010609282,0.978830481,184.8585984,0.010838733
THRA,THRA,0.031954054,0.927387907,184.8585984,0.034455974
THRB,THRB,0.099633215,0.840177365,184.8585984,0.118585931
USF1,USF1,0.107063389,0.76671162,184.8585984,0.139639711
VDR,VDR,0.0229552,0.947685663,184.8585984,0.024222378
